new entry "Cone_DragonSoul_Knockdown"
type "SkillData"
data "SkillType" "Cone"
data "ForGameMaster" "Yes"
data "Ability" "Summoning"
data "Tier" "Starter"
data "Requirement" "None"
data "ActionPoints" "2"
data "Cooldown" "4"
data "Damage Multiplier" "60"
data "SkillProperties" "KNOCKED_DOWN,100,1"
data "Range" "10"
data "Angle" "25"
data "DeathType" "Physical"
data "SurfaceType" "None"
data "IgnoreCursed" "Yes"
data "SurfaceStatusChance" "0"
data "SurfaceGrowStep" "10"
data "SurfaceGrowInterval" "5"
data "TargetConditions" "!Dead;!Ally"
data "UseWeaponDamage" "Yes"
data "UseWeaponProperties" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "Icon" "Skill_Warrior_GroundSmash"
data "DisplayName" "Cone_DragonSoul_Knockdown_DisplayName"
data "DisplayNameRef" "Dragon Force"
data "Description" "Cone_DragonSoul_Knockdown_Description"
data "DescriptionRef" "|Shouts damaging all non-allied characters in a cone in front of you for [1] damage and knocking them down. Clears non-cursed surfaces and clouds.|"
data "StatsDescription" "Cone_DragonSoul_Knockdown_StatsDescription"
data "StatsDescriptionRef" "Cone angle: [2]<br>Length: [3]"
data "StatsDescriptionParams" "Damage;Angle;Range;"
data "FXScale" "100"
data "PrepareEffect" "RS3_FX_Skills_Void_Prepare_Divine_Hand_01"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Void_Cast_Attack_Round_Root_01"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "MemorizationRequirements" "Polymorph 0"
data "BackStart" "12"
data "OverrideMinAP" "Yes"
data "CycleConditions" "Enemy"

