new entry "Jump_DragonSoul_Landing"
type "SkillData"
data "SkillType" "Jump"
data "ForGameMaster" "Yes"
data "Ability" "Polymorph"
data "Tier" "Starter"
data "ActionPoints" "1"
data "Cooldown" "4"
data "SkillProperties" "KNOCKED_DOWN,100,1;"
data "TargetRadius" "10"
data "HitRadius" "3"
data "DeathType" "Physical"
data "Damage On Jump" "Yes"
data "Damage On Landing" "Yes"
data "Icon" "Skill_Warrior_PhoenixDive"
data "DisplayName" "Jump_DragonSoul_Landing_DisplayName"
data "DisplayNameRef" "Dragon Landing"
data "Description" "Jump_DragonSoul_Landing_Description"
data "DescriptionRef" "|Knock down your enemies when landing.|"
data "StatsDescription" "Jump_DragonSoul_Landing_StatsDescription"
data "StatsDescriptionRef" "Range: [1]"
data "StatsDescriptionParams" "TargetRadius"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_air_01_start"
data "PrepareAnimationLoop" "skill_prepare_air_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Fire_Prepare_Fire_Root_01,KeepRot;RS3_FX_Skills_Fire_Prepare_Fire_Hand_01:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_cast_teleport_air_01_cast"
data "CastTextEvent" "cast"
data "TeleportTextEvent" "teleport"
data "CastEffect" "RS3_FX_Skills_Warrior_PhoenixDive_Cast_01:root:teleport_start"
data "PreviewEffect" "RS3_FX_UI_TargetPreviewer_Fire_01"
data "LandingEffect" "RS3_FX_Skills_Warrior_PhoenixDive_Land_01:root:teleport_end"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "Requirements" "!Immobile"
data "MemorizationRequirements" "Polymorph 0"

