new entry "Rain_DragonSoul_FireRain"
type "SkillData"
data "SkillType" "Rain"
data "ForGameMaster" "Yes"
data "Ability" "Fire"
data "Tier" "Starter"
data "ActionPoints" "2"
data "Cooldown" "6"
data "Lifetime" "1"
data "SurfaceType" "Fire"
data "SurfaceStatusChance" "100"
data "Damage Multiplier" "65"
data "DamageType" "Fire"
data "SkillProperties" "IGNITE,100,1;"
data "TargetRadius" "8"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "AreaRadius" "10"
data "TotalSurfaceCells" "250"
data "SurfaceGrowStep" "10"
data "SurfaceGrowInterval" "100"
data "MemorizationRequirements" "FireSpecialist 0"
data "Icon" "Skill_Water_Rain"
data "DisplayName" "Rain_DragonSoul_FireRain_DisplayName"
data "DisplayNameRef" "Fire Rain"
data "Description" "Rain_DragonSoul_FireRain_Description"
data "DescriptionRef" "Create lava surfaces."
data "StatsDescription" "Rain_DragonSoul_FireRain_StatsDescription"
data "StatsDescriptionRef" "Radius: [1]<br>Duration: [2]<br>Creates water puddles on terrain, douses fires, and makes characters wet. Wet makes target less resistant to air spells but more resistant to fire spells."
data "StatsDescriptionParams" "AreaRadius;Lifetime"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_water_01_start"
data "PrepareAnimationLoop" "skill_prepare_water_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Fire_Prepare_Voodoo_Root_02"
data "CastAnimation" "skill_cast_aoe_water_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Fire_Prepare_Voodoo_Root_02"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "RainEffect" "RS3_FX_Environment_Rain_Fire_01"
data "ConsequencesStartTime" "1000"
data "CycleConditions" "Character;!Dead"

