new entry "Shout_DragonSoul_Pep"
type "SkillData"
data "SkillType" "Shout"
data "ForGameMaster" "Yes"
data "Ability" "Polymorph"
data "Tier" "Starter"
data "ActionPoints" "0"
data "Cooldown" "6"
data "AIFlags" "CanNotUse"
data "SkillProperties" "DALLISDRAGON,100,10,a91e4406-36a5-4b54-bffc-10158af95c78,0"
data "AreaRadius" "0"
data "AddWeaponRange" "No"
data "TargetConditions" "Self"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Autocast" "Yes"
data "MemorizationRequirements" "Polymorph 0"
data "Icon" "Skill_Polymorph_BullHorns"
data "DisplayName" "Shout_DragonSoul_Pep_DisplayName"
data "DisplayNameRef" "Dragon Form"
data "Description" "Shout_DragonSoul_Pep_Description"
data "DescriptionRef" "En Pep es manifesta."
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Totem_Prepare_Totem_Root_01,KeepRot;RS3_FX_Skills_Totem_Prepare_Totem_Bull_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Prepare_Totem_Dummy_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Prepare_Totem_Hand_01:Dummy_R_HandFX;RS3_FX_Skills_Totem_Prepare_Totem_Hand_01:Dummy_L_HandFX"
data "CastAnimation" "skill_cast_self_totem_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Totem_Cast_Self_Totem_Root_01:Dummy_Root;RS3_FX_Skills_Totem_Cast_Self_Totem_Dummy_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Cast_Self_Totem_Bull_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Cast_Self_Totem_Root_TextKey_01:Dummy_Root:cast"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"

